구분,유통사,사업자명,사업자등록번호,7월 상품명,7월 판매건수,7월 매출액,7월 판촉액(쿠폰),8월 누적데이터 상태,원인 분석
농산물,네이버,주식회사 시즌드시즌,677-87-02304,[시즌드시즌] 프리미엄 티하우스 카페인 없는 '사계'차 선물세트 [원산지:상세설명에 표시],3,340000,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 유한회사 해오름팜농장,209-87-01228,농부가바로팜 무항생제 동물복지 유정란 40구 신선계란 난각번호2번 [원산지:국산(전라남도 나주시)],12,291800,8080,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,짱아찌네농장,280-90-00306,치커리 적치커리 쌈채소 샐러드야채 500g 1kg 농장직송 당일수확 [원산지:국산(경기도 양평군)],24,276500,3600,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,온드리 목장,519-33-01006,온드리목장 100g 무가당 꾸덕한 그릭요거트 산미없이 고소한 [원산지:국산(전라남도 화순군)],18,260500,6660,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,여주시농협조합공동사업법인,126-82-11620,"여주시농협RPC 대왕님표 여주쌀 현미 진상 당일도정 25년 햅쌀 10kg, 2개 [원산지:국산(경기도 여주시)]",3,242000,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,예다움곶감,540-96-00855,예다움 상주 곶감 혼합1호 가정의달 부모님 선물세트 반건시 대과 크림치즈호두말이 30과 [원산지:상세설명에 표시],4,220000,10000,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,예다움곶감,540-96-00855,상주 곶감 반건시 혼합 9구 15구 곶감단지 크림치즈 호두말이 디저트 실속형 선물세트 [원산지:상세설명에 표시],7,213800,11920,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,주식회사 드림엘링크,562-81-04158,이기순 명인의 순 열무김치 2kg 국산 열무 국내산 김치 맛집 주문 국수 냉면 프리미엄 [원산지:국산],11,177400,11840,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,피스팜,463-93-01691,경기G마크 GAP 저탄소 농산물 평화농원 먹골배 신고배 가공용 배즙용 요리용 15kg [원산지:국산(경기도 남양주시)],3,175000,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 랑이네세상 주식회사,488-88-03205,"1kg 3개 선물세트(백미, 7분도) 25년 고시히카리 햅쌀/ 당일도정 특등급/소포장 [원산지:국산(인천광역시 강화군)]",5,162500,6540,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
